pressure [db]	time [yyyymmddhhmmssmmm]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	qc flag	spar [umol m-2 s-1]	temperature [degc]	angular scattering coef at 117° 470 nm [m-1 sr-1]	bbp470 [m-1]	beam transmission 660 nm [%]	beam attenuation coef 660 nm [m-1]	nitrate isus [µmol/l]	oxygen  [ml/l]	oxygen  [umol/kg]	oxygen per sat [µmol/kg]	par ratio [%]	part backscattering coef 470 nm [m-1]	ph	time [second]
617.0		0.0154	3.948069		610.855						0.0		10.5824	35.4937	0		10.6589			99.778									
618.0		0.0161	3.948263		611.849						0.0		10.5835	35.494	0		10.6601			99.8077									
619.0		0.017	3.948325		612.835						0.0		10.5836	35.4938	0		10.6603			99.8142									
620.0		0.0173	3.948402		613.834						0.0		10.5838	35.4938	0		10.6606			99.798									
621.0		0.0163	3.948479		614.83						0.0		10.5838	35.4939	0		10.6608			99.8108									
622.0		0.0165	3.948477		615.825						0.0		10.5834	35.4938	0		10.6605			99.804									
623.0		0.0164	3.948762		616.796						0.0		10.5856	35.4937	0		10.6629			99.8046									
624.0		0.0139	3.94865		617.771						0.0		10.5839	35.4937	0		10.6612			99.8016									
625.0		0.0205	3.948471		618.762						0.0		10.5818	35.4934	0		10.6592			99.798									
626.0		0.026	3.948238		619.753						0.0		10.5795	35.4927	0		10.6571			99.7981									
627.0		0.0284	3.948061		620.752						0.0		10.577	35.4929	0		10.6547			99.8045									
628.0		0.0278	3.948147		621.731						0.0		10.5768	35.4933	0		10.6546			99.8214									
629.0		0.025	3.947565		622.72						0.0		10.5715	35.4923	0		10.6494			99.8216									
630.0		0.0234	3.94598		623.733						0.0		10.5573	35.4898	0		10.6353			99.8194									
631.0		0.0214	3.944833		624.732						0.0		10.5465	35.4886	0		10.6246			99.7989									
632.0		0.021	3.945555		625.699						0.0		10.5524	35.4889	0		10.6306			99.8131									
633.0		0.0206	3.944496		626.674						0.0		10.543	35.4871	0		10.6213			99.8202									
634.0		0.0208	3.941919		627.665						0.0		10.52	35.4836	0		10.5983			99.8194									
635.0		0.0213	3.941167		628.658						0.0		10.5128	35.4825	0		10.5913			99.7986									
636.0		0.0215	3.941244		629.65						0.0		10.5132	35.4821	0		10.5918			99.8204									
637.0		0.0227	3.941328		630.635						0.0		10.5133	35.4822	0		10.592			99.8224									
638.0		0.0222	3.941396		631.624						0.0		10.5133	35.4822	0		10.5921			99.829									
639.0		0.0252	3.941445		632.612						0.0		10.5135	35.4819	0		10.5924			99.8388									
640.0		0.0245	3.941167		633.6						0.0		10.5107	35.4813	0		10.5897			99.8237									
641.0		0.023	3.939407		634.601						0.0		10.4955	35.478	0		10.5747			99.824									
642.0		0.0232	3.937621		635.592						0.0		10.4792	35.4756	0		10.5584			99.8257									
643.0		0.0173	3.93871		636.561						0.0		10.4881	35.4768	0		10.5674			99.8406									
644.0		0.0205	3.936628		637.544						0.0		10.4695	35.4736	0		10.5489			99.8502									
645.0		0.0214	3.936272		638.534						0.0		10.4657	35.4731	0		10.5452			99.8451									
646.0		0.0194	3.93736		639.531						0.0		10.4733	35.4757	0		10.5529			99.8446									
647.0		0.0181	3.93972		640.518						0.0		10.4915	35.4808	0		10.5713			99.8388									
648.0		0.0177	3.940307		641.513						0.0		10.4953	35.4822	0		10.5753			99.8157									
649.0		0.0173	3.940479		642.501						0.0		10.496	35.4827	0		10.5762			99.8188									
650.0		0.0194	3.940402		643.487						0.0		10.4949	35.4825	0		10.5752			99.8089									
651.0		0.0211	3.939434		644.478						0.0		10.486	35.481	0		10.5664			99.7982									
652.0		0.0227	3.938727		645.469						0.0		10.4793	35.48	0		10.5598			99.8049									
653.0		0.0253	3.937918		646.462						0.0		10.472	35.4785	0		10.5526			99.8196									
654.0		0.0232	3.937243		647.439						0.0		10.4657	35.4772	0		10.5464			99.8158									
655.0		0.0193	3.936756		648.415						0.0		10.4612	35.4761	0		10.542			99.8223									
656.0		0.0172	3.935056		649.406						0.0		10.4461	35.4734	0		10.5269			99.8225									
657.0		0.0185	3.935079		650.401						0.0		10.446	35.4731	0		10.5269			99.8258									
658.0		0.0184	3.933882		651.394						0.0		10.4359	35.4706	0		10.5169			99.8258									
659.0		0.0192	3.930809		652.392						0.0		10.4087	35.4662	0		10.4897			99.8241									
660.0		0.0188	3.929962		653.382						0.0		10.4006	35.465	0		10.4817			99.8296									
661.0		0.0142	3.928996		654.358						0.0		10.3914	35.4636	0		10.4726			99.8384									
662.0		0.0177	3.928374		655.341						0.0		10.3853	35.4626	0		10.4666			99.8279									
663.0		0.0182	3.928461		656.332						0.0		10.3851	35.4629	0		10.4665			99.8458									
664.0		0.0166	3.92874		657.318						0.0		10.3868	35.4634	0		10.4683			99.8498									
665.0		0.0189	3.928663		658.315						0.0		10.3856	35.4631	0		10.4672			99.8498									
666.0		0.02	3.927862		659.308						0.0		10.3785	35.4614	0		10.4602			99.8498									
667.0		0.0199	3.925835		660.295						0.0		10.3603	35.4584	0		10.4421			99.8538									
668.0		0.0209	3.924143		661.28						0.0		10.3452	35.4557	0		10.427			99.8515									
669.0		0.0198	3.923614		662.266						0.0		10.3401	35.4545	0		10.422			99.8708									
670.0		0.019	3.923518		663.248						0.0		10.3385	35.4542	0		10.4206			99.8743									
671.0		0.0193	3.923508		664.23						0.0		10.3376	35.4543	0		10.4198			99.8744									
672.0		0.018	3.923685		665.223						0.0		10.3385	35.4546	0		10.4208			99.8741									
673.0		0.0191	3.923681		666.218						0.0		10.3381	35.4542	0		10.4205			99.8723									
674.0		0.0197	3.923468		667.209						0.0		10.3357	35.4539	0		10.4182			99.8738									
675.0		0.0189	3.922642		668.205						0.0		10.3283	35.4524	0		10.411			99.8661									
676.0		0.0179	3.920712		669.195						0.0		10.3111	35.4493	0		10.3937			99.8505									
677.0		0.0201	3.920068		670.176						0.0		10.3048	35.4483	0		10.3876			99.8569									
678.0		0.0206	3.920156		671.157						0.0		10.305	35.4482	0		10.3879			99.8742									
679.0		0.0163	3.916976		672.142						0.0		10.2774	35.443	0		10.3603			99.8717									
680.0		0.0138	3.914353		673.135						0.0		10.2541	35.4389	0		10.337			99.8708									
681.0		0.0137	3.912944		674.124						0.0		10.2415	35.4365	0		10.3245			99.8692									
682.0		0.0153	3.914671		675.113						0.0		10.2542	35.4405	0		10.3373			99.873									
683.0		0.0162	3.916549		676.103						0.0		10.2692	35.4437	0		10.3526			99.8662									
684.0		0.0175	3.917053		677.094						0.0		10.2727	35.4446	0		10.3562			99.8527									
685.0		0.0171	3.916701		678.076						0.0		10.2691	35.444	0		10.3527			99.8523									
686.0		0.0174	3.917332		679.069						0.0		10.2726	35.4462	0		10.3564			99.8498									
687.0		0.0182	3.917664		680.052						0.0		10.2747	35.4468	0		10.3586			99.8498									
688.0		0.0163	3.917503		681.046						0.0		10.2728	35.4465	0		10.3569			99.8498									
689.0		0.0165	3.917529		682.034						0.0		10.2725	35.4465	0		10.3566			99.8351									
