pressure [db]	time [yyyymmddhhmmssmmm]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	qc flag	spar [umol m-2 s-1]	temperature [degc]	bbp470 [m-1]	beam transmission 660 nm [%]	beam attenuation coef 660 nm [m-1]	nitrate isus [?mol/l]	oxygen  [ml/l]	oxygen  [umol/kg]	oxygen per sat [?mol/kg]	par [?mol m-2 s-1]	par ratio [%]	part backscattering coef 470 nm [m-1]	ph	spar [?mol m-2 s-1]	time [second]
6.0	20190101021400000	1.4261	4.361766		5.932								15.1349	35.5134	0		15.1358		89.7837						140.01					
7.0	20190101021600000	1.3777	4.36185		6.949								15.1351	35.5135	0		15.1362		89.7325						107.43					
8.0	20190101021900000	1.4047	4.361866		7.938								15.1347	35.5134	0		15.136		89.7521						88.941					
9.0	20190101022100000	1.3874	4.361821		8.925								15.1338	35.5133	0		15.1352		89.7604						77.365					
10.0	20190101022400000	1.4028	4.361996		9.913								15.1348	35.5134	0		15.1364		89.8839						64.558					
11.0	20190101022600000	1.3751	4.36221		10.907								15.1364	35.5134	0		15.138		89.8738						57.975					
12.0	20190101022900000	1.3534	4.362239		11.898								15.136	35.5134	0		15.1378		89.8283						48.615					
13.0	20190101023100000	1.4118	4.362254		12.887								15.1356	35.5134	0		15.1376		89.8796						44.828					
14.0	20190101023400000	1.4385	4.362384		13.884								15.1364	35.5133	0		15.1385		89.8567						37.071					
15.0	20190101023600000	1.3863	4.362515		14.867								15.1369	35.5134	0		15.1392		89.7767						31.842					
16.0	20190101023900000	1.4183	4.362656		15.865								15.1374	35.5137	0		15.1399		89.7101						28.805					
17.0	20190101024100000	1.3703	4.362443		16.865								15.135	35.5135	0		15.1376		89.6507						21.252					
18.0	20190101024400000	1.4348	4.361755		17.845								15.1278	35.5133	0		15.1306		89.9784						19.615					
19.0	20190101024600000	1.4167	4.361638		18.84								15.126	35.5134	0		15.1288		89.9096						16.783					
20.0	20190101024900000	1.375	4.361421		19.833								15.1232	35.5134	0		15.1263		90.043						13.384					
21.0	20190101025100000	1.3243	4.361073		20.818								15.1192	35.5133	0		15.1224		89.9846						13.233					
22.0	20190101025400000	1.4042	4.361375		21.812								15.1215	35.5134	0		15.1248		89.9232						11.014					
23.0	20190101025600000	1.4031	4.360947		22.806								15.1169	35.5132	0		15.1204		89.9459						8.8619					
24.0	20190101025900000	1.3571	4.360983		23.79								15.1165	35.5133	0		15.1201		90.0763						8.607					
25.0	20190101030100000	1.3616	4.361025		24.788								15.1162	35.5133	0		15.12		90.1155						7.643					
26.0	20190101030400000	1.3424	4.360121		25.78								15.1066	35.5134	0		15.1106		90.0388						5.8821					
27.0	20190101030600000	1.3059	4.358595		26.768								15.0908	35.5137	0		15.0949		90.3792						5.5486					
28.0	20190101030900000	1.3114	4.356779		27.762								15.0716	35.5142	0		15.0759		90.3431						5.0099					
29.0	20190101031100000	1.3585	4.354791		28.751								15.0511	35.5145	0		15.0555		90.7258						3.8452					
30.0	20190101031400000	1.3477	4.353628		29.744								15.0383	35.5148	0		15.0429		90.8328						3.5518					
31.0	20190101031600000	1.3384	4.35005		30.728								15.0012	35.516	0		15.0059		91.0468						3.324					
32.0	20190101031900000	1.2961	4.340026		31.728								14.9021	35.5166	0		14.9069		91.0525						2.659					
33.0	20190101032100000	1.2077	4.294824		32.721								14.4357	35.5357	0		14.4405		91.7079						2.2442					
34.0	20190101032400000	0.9607	4.232518		33.707								13.8121	35.5406	0		13.817		93.74						2.0589					
35.0	20190101032600000	0.7586	4.187758		34.702								13.353	35.5485	0		13.3579		94.7315						1.7388					
36.0	20190101032900000	0.6093	4.165259		35.685								13.1213	35.5468	0		13.1262		95.9454						1.6422					
37.0	20190101033100000	0.5465	4.1629		36.685								13.0945	35.5463	0		13.0996		96.2533						1.4698					
38.0	20190101033400000	0.4967	4.160813		37.681								13.0713	35.5442	0		13.0765		96.4904						1.2875					
39.0	20190101033600000	0.4339	4.159822		38.657								13.0563	35.5397	0		13.0617		96.9021						1.149					
40.0	20190101033900000	0.4261	4.155974		39.657								13.0172	35.5391	0		13.0227		96.9524						1.0755					
41.0	20190101034100000	0.4043	4.151809		40.657								12.9759	35.5374	0		12.9815		97.0573						0.99999					
42.0	20190101034400000	0.3279	4.150174		41.641								12.9588	35.5345	0		12.9646		97.5856						0.86185					
43.0	20190101034600000	0.2828	4.14936		42.626								12.951	35.5311	0		12.9569		97.8514						0.81936					
44.0	20190101034900000	0.2754	4.147749		43.62								12.937	35.5282	0		12.943		97.8486						0.78721					
45.0	20190101035100000	0.26	4.142641		44.617								12.89	35.5234	0		12.8962		97.8595						0.70799					
46.0	20190101035400000	0.2219	4.136071		45.612								12.8282	35.5184	0		12.8345		98.0991						0.60129					
47.0	20190101035600000	0.1913	4.127808		46.596								12.7567	35.5059	0		12.7631		98.3488						0.55629					
48.0	20190101035900000	0.1781	4.125152		47.589								12.7307	35.504	0		12.7372		98.4319						0.52584					
49.0	20190101040100000	0.1667	4.125123		48.579								12.7271	35.5058	0		12.7338		98.4802						0.49039					
50.0	20190101040400000	0.1533	4.122336		49.576								12.7003	35.5036	0		12.7071		98.5243						0.43959					
51.0	20190101040600000	0.1398	4.121317		50.558								12.6898	35.502	0		12.6967		98.6885						0.38897					
52.0	20190101040900000	0.1362	4.120172		51.553								12.6773	35.502	0		12.6843		98.7103						0.37977					
53.0	20190101041100000	0.1285	4.120033		52.551								12.6671	35.5098	0		12.6743		98.7345						0.36012					
54.0	20190101041400000	0.1193	4.117591		53.545								12.6394	35.5121	0		12.6467		98.7798						0.33595					
55.0	20190101041600000	0.1632	4.114437		54.525								12.6072	35.5112	0		12.6147		98.7674						0.2898					
56.0	20190101041900000	0.1397	4.103786		55.512								12.501	35.5101	0		12.5085		98.8858						0.2946					
57.0	20190101042100000	0.1138	4.09262		56.511								12.394	35.5046	0		12.4016		98.9145						0.26768					
58.0	20190101042400000	0.0954	4.088162		57.505								12.3511	35.501	0		12.3588		99.0137						0.22972					
59.0	20190101042600000	0.0811	4.086126		58.489								12.3315	35.4975	0		12.3393		99.0983						0.20428					
60.0	20190101042900000	0.0809	4.08428		59.485								12.3138	35.4954	0		12.3218		99.0827						0.18972					
61.0	20190101043100000	0.0831	4.082459		60.473								12.2964	35.493	0		12.3045		99.1347						0.1797					
62.0	20190101043400000	0.0749	4.081623		61.467								12.278	35.5015	0		12.2862		99.1291						0.16872					
63.0	20190101043600000	0.0687	4.080573		62.458								12.2656	35.5019	0		12.2739		99.1048						0.14186					
64.0	20190101043900000	0.0695	4.069952		63.446								12.1689	35.4914	0		12.1773		99.2046						0.13					
65.0	20190101044100000	0.0687	4.055907		64.434								12.0448	35.4739	0		12.0533		99.2204						0.13554					
66.0	20190101044400000	0.0652	4.055358		65.43								12.035	35.4767	0		12.0437		99.191						0.12322					
67.0	20190101044600000	0.0619	4.055727		66.429								12.0366	35.4774	0		12.0454		99.2627						0.10878					
68.0	20190101044900000	0.06	4.055505		67.414								12.0333	35.4764	0		12.0422		99.3295						0.099303					
69.0	20190101045100000	0.0633	4.0526		68.404								12.007	35.4722	0		12.0161		99.3275						0.097781					
70.0	20190101045400000	0.0574	4.053333		69.403								12.0107	35.475	0		12.0198		99.3475						0.089923					
71.0	20190101045600000	0.0576	4.055629		70.387								12.028	35.4792	0		12.0373		99.3664						0.079275					
72.0	20190101045900000	0.0551	4.064143		71.375								12.0888	35.502	0		12.0982		99.3824						0.07685					
73.0	20190101050100000	0.0559	4.065963		72.369								12.1013	35.5072	0		12.1109		99.3715						0.071944					
74.0	20190101050400000	0.0515	4.066392		73.365								12.0999	35.5123	0		12.1096		99.3387						0.0609					
75.0	20190101050600000	0.0653	4.065794		74.346								12.089	35.517	0		12.0988		99.3961						0.050698					
76.0	20190101050900000	0.0568	4.062543		75.344								12.0559	35.517	0		12.0659		99.3751						0.050277					
77.0	20190101051100000	0.0495	4.061028		76.334								12.041	35.516	0		12.0511		99.3533						0.047404					
78.0	20190101051400000	0.0439	4.060054		77.326								12.0315	35.5149	0		12.0417		99.449						0.044751					
79.0	20190101051600000	0.0476	4.059682		78.316								12.0279	35.514	0		12.0382		99.417						0.03806					
80.0	20190101051900000	0.0473	4.05789		79.307								12.0113	35.5118	0		12.0218		99.427						0.036124					
81.0	20190101052100000	0.0463	4.057102		80.298								12.003	35.5115	0		12.0136		99.4436						0.032799					
82.0	20190101052400000	0.0484	4.055881		81.288								11.9904	35.5111	0		12.0011		99.4826						0.031254					
83.0	20190101052600000	0.0441	4.055217		82.284								11.9827	35.5113	0		11.9935		99.4759						0.027036					
84.0	20190101052900000	0.0541	4.055283		83.27								11.9825	35.5113	0		11.9934		99.446						0.022385					
85.0	20190101053100000	0.051	4.054344		84.261								11.9696	35.5139	0		11.9807		99.4998						0.022877					
86.0	20190101053400000	0.045	4.053707		85.252								11.9618	35.5146	0		11.973		99.4702						0.019395					
87.0	20190101053600000	0.0421	4.053665		86.25								11.9606	35.5148	0		11.9719		99.4915						0.014732					
88.0	20190101053900000	0.0428	4.053868		87.235								11.9623	35.5143	0		11.9738		99.4805						0.01048					
89.0	20190101054100000	0.0391	4.053518		88.226								11.9576	35.5148	0		11.9692		99.4758						0.010267					
90.0	20190101054400000	0.0395	4.053314		89.216								11.9544	35.5153	0		11.9661		99.4896						0.010272					
91.0	20190101054600000	0.0371	4.053233		90.215								11.9526	35.5156	0		11.9644		99.5014						0.006482					
92.0	20190101054900000	0.044	4.053217		91.198								11.9518	35.5155	0		11.9638		99.5267						0.003214					
93.0	20190101055100000	0.0532	4.052301		92.187								11.9424	35.5151	0		11.9545		99.5158						0.000684					
94.0	20190101055400000	0.049	4.051125		93.188								11.9311	35.5141	0		11.9433		99.532						0.000214					
95.0	20190101055600000	0.0393	4.050477		94.179								11.9245	35.5133	0		11.9369		99.5378						5.9e-05					
96.0	20190101055900000	0.0394	4.04907		95.161								11.9103	35.5126	0		11.9228		99.5448						-2e-06					
97.0	20190101060100000	0.038	4.048607		96.156								11.905	35.5126	0		11.9176		99.5496						0.0					
98.0	20190101060400000	0.0401	4.048141		97.149								11.8996	35.5127	0		11.9123		99.4928						0.0					
99.0	20190101060600000	0.0441	4.047334		98.138								11.8909	35.5124	0		11.9038		99.554						0.0					
100.0	20190101060900000	0.0392	4.046482		99.126								11.8818	35.5122	0		11.8948		99.5565						0.0					
101.0	20190101061100000	0.0355	4.045768		100.126								11.8737	35.5124	0		11.8868		99.568						0.0					
102.0	20190101061400000	0.0384	4.044786		101.111								11.8623	35.5132	0		11.8755		99.5063						0.0					
103.0	20190101061600000	0.0369	4.045848		102.102								11.869	35.5163	0		11.8823		99.5744						0.0					
104.0	20190101061900000	0.0417	4.047439		103.103								11.8781	35.5223	0		11.8916		99.5701						0.0					
105.0	20190101062100000	0.0402	4.048461		104.091								11.8836	35.5263	0		11.8972		99.5794						0.0					
106.0	20190101062400000	0.039	4.048963		105.076								11.8867	35.5276	0		11.9005		99.5773						0.0					
107.0	20190101062600000	0.0319	4.047012		106.068								11.8687	35.5256	0		11.8826		99.6034						0.0					
108.0	20190101062900000	0.0325	4.046718		107.057								11.8652	35.5254	0		11.8793		99.5986						0.0					
109.0	20190101063100000	0.0326	4.047208		108.046								11.868	35.5268	0		11.8822		99.5939						0.0					
110.0	20190101063400000	0.0339	4.047708		109.042								11.8706	35.5286	0		11.8849		99.6045						0.0					
111.0	20190101063600000	0.0336	4.047613		110.023								11.8693	35.5284	0		11.8837		99.6099						0.0					
112.0	20190101063900000	0.0344	4.047324		111.018								11.8642	35.5299	0		11.8788		99.5908						0.0					
113.0	20190101064100000	0.038	4.047788		112.012								11.8645	35.5336	0		11.8792		99.6055						0.0					
114.0	20190101064400000	0.0375	4.04796		113.009								11.8646	35.5346	0		11.8794		99.5822						0.0					
115.0	20190101064600000	0.032	4.047951		113.999								11.8639	35.5346	0		11.8788		99.5883						0.0					
116.0	20190101064900000	0.0316	4.048057		114.978								11.8642	35.5347	0		11.8793		99.6239						0.0					
117.0	20190101065100000	0.0339	4.048201		115.973								11.8624	35.5374	0		11.8776		99.6171						0.0					
118.0	20190101065400000	0.0326	4.048027		116.97								11.8601	35.5373	0		11.8755		99.6151						0.0					
119.0	20190101065600000	0.0342	4.047947		117.963								11.8585	35.5374	0		11.874		99.6239						0.0					
